+---------------------------------------------------------+-------------------------+----------------------------+--------------------+----------------------------------------------------------+------------------------------------------------+-----------+-----------------------------------------------------------------------------------------------------------------------+
| Package                                                 | Version                 | License Information Origin | License Expression | License Url                                              | Copyright                                      | Authors   | Package Project Url                                                                                                   |
+---------------------------------------------------------+-------------------------+----------------------------+--------------------+----------------------------------------------------------+------------------------------------------------+-----------+-----------------------------------------------------------------------------------------------------------------------+
| Azure.AI.Inference                                      | 1.0.0-beta.4            | Expression                 | MIT                | https://licenses.nuget.org/MIT                           | © Microsoft Corporation. All rights reserved.  | Microsoft | https://github.com/Azure/azure-sdk-for-net/blob/Azure.AI.Inference_1.0.0-beta.4/sdk/ai/Azure.AI.Inference/README.md   |
| Azure.Core                                              | 1.44.1                  | Expression                 | MIT                | https://licenses.nuget.org/MIT                           | © Microsoft Corporation. All rights reserved.  | Microsoft | https://github.com/Azure/azure-sdk-for-net/blob/Azure.Core_1.44.1/sdk/core/Azure.Core/README.md                       |
| Microsoft.Bcl.AsyncInterfaces                           | 6.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT                           | © Microsoft Corporation. All rights reserved.  | Microsoft | https://dot.net/                                                                                                      |
| Microsoft.Extensions.AI                                 | 9.7.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT                           | © Microsoft Corporation. All rights reserved.  | Microsoft | https://dot.net/                                                                                                      |
| Microsoft.Extensions.AI.Abstractions                    | 9.7.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT                           | © Microsoft Corporation. All rights reserved.  | Microsoft | https://dot.net/                                                                                                      |
| Microsoft.Extensions.AI.AzureAIInference                | 9.7.0-preview.1.25356.2 | Expression                 | MIT                | https://licenses.nuget.org/MIT                           | © Microsoft Corporation. All rights reserved.  | Microsoft | https://dot.net/                                                                                                      |
| Microsoft.Extensions.Caching.Abstractions               | 8.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT                           | © Microsoft Corporation. All rights reserved.  | Microsoft | https://dot.net/                                                                                                      |
| Microsoft.Extensions.Configuration                      | 9.0.7                   | Expression                 | MIT                | https://licenses.nuget.org/MIT                           | © Microsoft Corporation. All rights reserved.  | Microsoft | https://dot.net/                                                                                                      |
| Microsoft.Extensions.Configuration.Abstractions         | 9.0.7                   | Expression                 | MIT                | https://licenses.nuget.org/MIT                           | © Microsoft Corporation. All rights reserved.  | Microsoft | https://dot.net/                                                                                                      |
